Employer,Job Title/Position,Salary,Job Description,Status
Air Force Civilian Career Training,COMPUTER SCIENTIST,"$56,763 - $88,225","Force Renewal Programs are designed to attract students & recent graduates with management/leadership potential to careers as Federal employees with the Air Force Civilian Service. This is accomplished by recruiting & selecting high-caliber candidates & training them to become competent, effective, & productive employees in a variety of career fields, providing training & developmental opportunities, & preparing them to successfully complete required training & developmental assignments.",Currently Open
Air Force Civilian Career Training,COMPUTER SCIENTIST,"$56,763 - $88,225",,Currently Open
Air Force Civilian Career Training,CONTRACT SPECIALIST,"$49,960 - $64,952",,Currently Open
Air Force Civilian Career Training,COST ANALYST,"$96,960 - $115,213",,Currently Open
Air Force Civilian Career Training,Civilian Strategic Leader Program (CSLP),"$107,446 - $164,301",,Currently Open
Air Force Civilian Career Training,Computer Scientist,"$56,763 - $99,314",,Currently Open
Air Force Civilian Career Training,Contract Specialist,"$61,111 - $79,443",,Currently Open
Air Force Civilian Career Training,DATA SCIENTIST,"$49,960 - $99,314",,Currently Open
Air Force Civilian Career Training,ENGINEERING,"$55,486 - $99,314",,Currently Open
Air Force Civilian Career Training,Electronic Engineer,"$55,486 - $83,525","Force Renewal Programs are designed to attract students & recent graduates with management/leadership potential to careers as Federal employees with the Air Force Civilian Service. This is accomplished by recruiting & selecting high-caliber candidates & training them to become competent, effective, & productive employees in a variety of career fields; providing training & developmental opportunities and preparing them to successfully complete required training & developmental assignments.",Currently Open
Air Force Civilian Career Training,Electronic Engineer,"$55,486 - $83,525",,Currently Open
Air Force Civilian Career Training,FINANCIAL MANAGEMENT SPECIALIST,"$49,960 - $115,213",,Currently Open
Air Force Civilian Career Training,IT SPECIALIST,"$56,763 - $88,225","Force Renewal Programs are designed to attract students & recent graduates with management/leadership potential to careers as Federal employees with the Air Force Civilian Service. This is accomplished by recruiting & selecting high-caliber candidates & training them to become competent, effective, & productive employees in a variety of career fields; providing training & developmental opportunities, & preparing them to successfully complete required training & developmental assignments.",Currently Open
Air Force Civilian Career Training,IT SPECIALIST,"$56,763 - $88,225",,Currently Open
Air Force Civilian Career Training,MATHEMATICIAN,"$49,960 - $99,314",,Currently Open
Air Force Civilian Career Training,OPERATIONS RESEARCH ANALYST,"$49,960 - $99,314",,Currently Open
Air Force Civilian Career Training,OPERATIONS RESEARCH ANALYST,"$49,960 - $115,213",,Currently Open
Air Force Civilian Career Training,PHYSICAL SCIENTIST (ENVIRONMENTAL),"$49,960 - $99,314",,Currently Open
Air Force Civilian Career Training,PHYSICIST,"$49,960 - $99,314",,Currently Open
Air Force Civilian Career Training,PROGRAM ANALYST,"$142,488 - $185,234","Performs Career Broadening assignments to apply Air Force military operational experience to plan and develop major aspects of Air Force, or Air Force portions of joint war, mobilization, and contingency plans in one or more of the following areas: combat, airlift, rescue, or space. In a Career Broadening capacity, develops new methods for developing, analyzing, and integrating AF capabilities in support of Air Force contributions to the organization's mission. Prepares and presents high level briefings of conclusions; many being highly subjective and not readily susceptible to verification until actual operational situations are encountered. Maintains continuous liaison with other Air Staff, Joint Staff, MAJCOM/NAF, COCOM, other service headquarters counterparts, and DoD offices to integrate Air Force plans with other defense agencies.",Currently Open
Air Force Civilian Career Training,PSYCHOLOGIST,"$49,960 - $99,314",,Currently Open
Air Force Civilian Career Training,SECURITY SPECIALIST,"$49,960 - $115,113",,Currently Open
Air Force Civilian Career Training,Student Trainee,"$36,825 - $52,426",The Air Force Civilian Service is pleased to announce the Air Force College Premier Summer Intern Program. Students in their junior year of a full-time baccalaureate program will be able to apply for a full-time paid summer internship lasting 10-12 weeks during the summer session prior to their senior year. Students in their junior year of their baccalaureate program and eligible (5 Year Program). Seniors will be able to apply for a full time internship.,Currently Open
Air Force Civilian Career Training,Student Trainee,"$36,825 - $52,426",,Currently Open
Air Force Materiel Command,AEROSPACE ENGINEER,"$88,621 - $155,164",,Currently Open
Air Force Materiel Command,AUTOMOTIVE WORKER,$22 - $24,,Currently Open
Air Force Materiel Command,BARTENDER,$20 - $22,,Currently Open
Air Force Materiel Command,BUDGET ANALYST-DIRECT HIRE AUTHORITY,"$45,679 - $108,859","Performs budget execution and administration work involving the monitoring of obligations incurred and the actual expenditures of a budget with different sources and types of funding, such as direct annual, multi-year, and no-year appropriations; apportionments; allotments; transfer of funds from other agencies; revenue from industrially funded operations; and refunds. Performs budget formulation work involving preparation of detailed analyses of annual and/or multi-year budget estimates for the 66th Force Support Squadron. Provides advice, assistance, and guidance on budgeting and related information. Conducts analyses, reviews, and special studies of budget and/or related information. Uses automated budgetary system(s) and computer-generated products in accomplishing budgeting assignments.",Currently Open
